zip,city,pilot,stage,p1_items,p1_clean,p2_items,p4_deferred,candidate_decisions,discovery_passes,discovery_status,last_discovery_at,historical_evidence_rows,directory_rows,excluded_rows,source_candidates,external_discoveries,confirmed,needs_verification,identity_review,status_unresolved,gp_scope_unresolved,location_incomplete,probable_non_office,likely_specialist_only,source_unrepresented,external_pending,researched_unresolved,resolved_excluded,dir_with_coords,dir_missing_coords,dir_coords_recoverable,dir_coords_suspect,dir_site_checked_live,dir_prior_web_research,dir_ownership_review_only,dir_no_prior_research,dir_identity_flagged,open_items,review_items,sources_searched,last_activity,batch_rank
60559,Westmont,False,not_started,4,0,13,21,0,[],not_searched,,11,31,3,4,0,0,0,5,5,2,1,0,1,3,0,0,0,15,16,5,0,2,7,13,9,7,17,15,,,30
60402,BERWYN,False,not_started,6,0,15,42,0,[],not_searched,,29,48,9,6,0,0,0,5,1,2,0,2,5,6,0,0,0,26,22,4,0,2,22,20,4,19,21,14,,,31
60453,OAK LAWN,False,not_started,5,1,15,35,0,[],not_searched,,27,43,7,5,0,0,0,7,1,2,1,3,2,4,0,0,0,16,27,19,0,3,24,15,1,12,20,14,,,32
60641,CHICAGO,False,not_started,8,2,10,27,0,[],not_searched,,19,32,5,8,0,0,0,3,2,1,0,2,2,8,0,0,0,13,19,6,0,2,14,13,3,7,18,14,,,33
60148,Lombard,False,not_started,8,4,8,34,0,[],not_searched,,22,39,3,8,0,0,0,4,1,1,0,1,1,8,0,0,0,15,24,9,0,0,22,12,5,7,16,14,,,34
60173,SCHAUMBURG,False,not_started,8,5,8,16,0,[],not_searched,,17,22,2,8,0,0,0,4,2,1,1,1,0,7,0,0,0,15,7,2,0,2,13,5,2,8,16,14,,,35
60506,AURORA,False,not_started,3,1,12,18,0,[],not_searched,,14,27,3,3,0,0,0,8,1,2,0,0,1,3,0,0,0,14,13,6,0,4,10,11,2,12,15,14,,,36
60181,OAKBROOK TERRACE,False,not_started,8,1,14,26,0,[],not_searched,,21,32,8,8,0,0,0,5,1,1,2,1,6,6,0,0,0,21,11,5,0,1,19,11,1,5,22,13,,,37
60564,Naperville,False,not_started,9,1,13,33,0,[],not_searched,,21,39,7,9,0,0,0,5,1,1,2,2,5,6,0,0,0,23,16,2,0,4,13,18,4,7,22,13,,,38
60467,ORLAND PARK,False,not_started,8,2,11,23,0,[],not_searched,,23,28,6,8,0,0,0,4,1,0,0,1,5,8,0,0,0,18,10,4,0,4,17,6,1,8,19,13,,,39
60646,CHICAGO,False,not_started,9,3,9,35,0,[],not_searched,,37,40,4,9,0,0,0,2,2,1,1,1,3,8,0,0,0,12,28,8,0,2,34,2,2,10,18,13,,,40
60707,ELMWOOD PARK,False,not_started,3,2,12,13,0,[],not_searched,,17,23,2,3,0,0,0,9,1,0,0,1,1,3,0,0,0,12,11,5,0,1,13,8,1,9,15,13,,,41
60463,PALOS HEIGHTS,False,not_started,2,0,12,24,0,[],not_searched,,16,34,2,2,0,0,0,9,1,1,0,0,1,2,0,0,0,10,24,11,0,4,12,15,3,10,14,13,,,42
60515,Downers Grove,False,not_started,4,0,20,25,0,[],not_searched,,18,34,11,4,0,0,0,8,1,0,1,5,6,3,0,0,0,26,8,1,0,5,12,13,4,8,24,12,,,43
60067,PALATINE,False,not_started,2,0,16,23,0,[],not_searched,,25,32,7,2,0,0,0,9,0,2,1,2,3,1,0,0,0,16,16,10,0,4,19,8,1,9,18,12,,,44
60647,CHICAGO,False,not_started,8,1,10,53,0,[],not_searched,,37,58,5,8,0,0,0,5,0,0,1,0,5,7,0,0,0,16,42,27,0,0,32,24,2,16,18,12,,,45
60563,Naperville,False,not_started,4,1,11,36,0,[],not_searched,,15,44,3,4,0,0,0,6,2,0,0,0,3,4,0,0,0,25,19,0,0,5,9,26,4,13,15,12,,,46
60616,CHICAGO,False,not_started,4,0,15,26,0,[],not_searched,,19,33,8,4,0,0,0,4,3,0,0,4,4,4,0,0,0,13,20,1,0,2,15,8,8,5,19,11,,,47
60659,CHICAGO,False,not_started,7,0,12,42,0,[],not_searched,,29,49,5,7,0,0,0,6,1,0,2,3,3,4,0,0,0,11,38,20,0,1,23,22,3,11,19,11,,,48
60609,CHICAGO,False,not_started,5,2,7,10,0,[],not_searched,,6,16,1,5,0,0,0,3,1,2,1,0,0,5,0,0,0,8,8,2,0,2,4,7,3,7,12,11,,,49
60035,HIGHLAND PARK,False,not_started,1,1,18,13,0,[],not_searched,,20,21,10,1,0,0,0,7,0,2,1,3,5,1,0,0,0,14,7,1,0,3,15,2,1,8,19,10,,,50
60108,BLOOMINGDALE,False,not_started,2,0,14,16,0,[],not_searched,,17,24,6,2,0,0,0,7,1,0,0,2,4,2,0,0,0,16,8,1,0,3,13,4,4,8,16,10,,,51
60123,ELGIN,False,not_started,4,0,12,27,0,[],not_searched,,29,35,4,4,0,0,0,8,0,0,1,3,2,2,0,0,0,25,10,3,0,5,23,5,2,11,16,10,,,52
60025,GLENVIEW,False,not_started,4,0,11,34,0,[],not_searched,,36,39,6,4,0,0,0,4,1,1,0,3,2,4,0,0,0,24,15,4,0,3,31,4,1,7,15,10,,,53
60076,SKOKIE,False,not_started,5,3,10,18,0,[],not_searched,,18,21,7,5,0,0,0,3,0,2,0,1,4,5,0,0,0,10,11,1,0,3,13,2,3,3,15,10,,,54
60430,HOMEWOOD,False,not_started,5,0,10,14,0,[],not_searched,,15,18,6,5,0,0,0,3,1,2,1,1,3,4,0,0,0,11,7,4,0,2,12,3,1,4,15,10,,,55
60525,LA GRANGE,False,not_started,3,1,12,22,0,[],not_searched,,17,29,5,3,0,0,0,4,3,0,0,0,5,3,0,0,0,14,15,3,0,1,15,11,2,9,15,10,,,56
60477,TINLEY PARK,False,not_started,8,1,6,32,0,[],not_searched,,20,35,3,8,0,0,0,2,1,0,0,1,3,7,0,0,0,21,14,0,0,4,16,11,4,6,14,10,,,57
60634,CHICAGO,False,not_started,2,0,9,48,0,[],not_searched,,36,55,2,2,0,0,0,4,3,1,0,0,1,2,0,0,0,19,36,17,0,2,34,13,6,7,11,10,,,58
60174,ST CHARLES,False,not_started,4,3,15,22,0,[],not_searched,,17,28,9,4,0,0,0,4,2,0,0,2,8,3,0,0,0,18,10,2,0,1,14,9,4,5,19,9,,,59
60045,LAKE FOREST,False,not_started,4,0,13,10,0,[],not_searched,,8,12,11,4,0,0,0,2,0,4,1,2,5,3,0,0,0,8,4,0,0,2,6,1,3,2,17,9,,,60
60610,CHICAGO,False,not_started,5,1,12,20,0,[],not_searched,,19,26,6,5,0,0,0,4,2,0,2,2,4,3,0,0,0,12,14,1,0,2,12,6,6,5,17,9,,,61
60605,CHICAGO,False,not_started,4,1,11,18,0,[],not_searched,,10,23,6,4,0,0,0,5,0,1,1,1,4,3,0,0,0,11,12,0,0,2,6,12,3,8,15,9,,,62
60134,GENEVA,False,not_started,4,2,10,20,0,[],not_searched,,21,25,5,4,0,0,0,3,2,1,0,2,3,3,0,0,0,21,4,2,0,1,17,5,2,2,14,9,,,63
60137,GLEN ELLYN,False,not_started,7,2,7,26,0,[],not_searched,,23,30,3,7,0,0,0,4,0,0,1,1,3,5,0,0,0,19,11,2,0,4,19,4,3,4,14,9,,,64
60619,CHICAGO,False,not_started,6,0,8,10,0,[],not_searched,,8,14,4,6,0,0,0,4,0,0,1,1,3,5,0,0,0,10,4,0,0,3,5,6,0,4,14,9,,,65
60714,NILES,False,not_started,2,2,11,28,0,[],not_searched,,13,36,3,2,0,0,0,6,1,0,1,0,3,2,0,0,0,18,18,5,0,2,10,23,1,12,13,9,,,66
60103,BARTLETT,False,not_started,5,0,7,27,0,[],not_searched,,18,30,4,5,0,0,0,3,0,1,0,0,3,5,0,0,0,15,15,3,0,1,17,11,1,12,12,9,,,67
60543,Oswego,False,not_started,8,1,3,28,0,[],not_searched,,21,29,2,8,0,0,0,0,1,0,0,0,2,8,0,0,0,19,10,0,0,3,16,9,1,8,11,9,,,68
60615,CHICAGO,False,not_started,4,2,6,8,0,[],not_searched,,8,11,3,4,0,0,0,3,0,2,0,0,1,4,0,0,0,6,5,1,0,1,7,2,1,5,10,9,,,69
60612,CHICAGO,False,not_started,2,0,21,16,0,[],not_searched,,12,25,12,2,0,0,0,7,0,0,3,5,7,1,0,0,0,11,14,2,0,1,9,12,3,9,23,8,,,70
60607,CHICAGO,False,not_started,3,0,16,39,0,[],not_searched,,24,45,10,3,0,0,0,4,2,0,1,1,9,2,0,0,0,21,24,4,0,2,18,16,9,12,19,8,,,71
60521,Hinsdale,False,not_started,3,1,10,19,0,[],not_searched,,10,25,4,3,0,0,0,6,0,0,1,1,3,2,0,0,0,15,10,1,0,2,8,12,3,8,13,8,,,72
